carID,name,model,year,city,km,condition,color,price
1524,دنا,پلاس اتوماتیک توربو,1400,تهران,0,بدون رنگ,سفید,465000000
1525,پژو,405 GLX بنزینی,1389,اصفهان,284000,دور رنگ,نقره ای,90000000
1526,پیکان,وانت,1388,تهران,200000,چند لکه رنگ,سفید,75000000
1527,رانا,LX,1394,شیراز,180000,کامل رنگ,مشکی,112000000
1528,پژو,206 تیپ 5,1396,اصفهان,8000,یک لکه رنگ,سفید,193000000
1529,سمند,X7,1383,اصفهان,370000,بدون رنگ,بژ,75000000
1530,پژو,206 تیپ 2,1398,اصفهان,40000,بدون رنگ,سفید,193000000
1531,پراید,131 SX,1390,پاکدشت,300000,دو لکه رنگ,نقره ای,60000000
1532,دوو,ماتیز,1382,پردیس,390000,چند لکه رنگ,نقره ای,48000000
1533,پراید,132 SX,1388,اصفهان,220000,بدون رنگ,سفید,70000000
1534,کوییک,دنده ای R,1399,تبریز,15000,بدون رنگ,سفید,151000000
1535,رنو,P.K,1383,تبریز,84000,چند لکه رنگ,آلبالویی,31000000
1536,پژو,407,2009,تهران,110000,بدون رنگ,سفید,380000000
1537,هیوندای,توسان (ix35) 2.4 لیتر,2015,تهران,55000,دو لکه رنگ,سفید,975000000
1538,ام,جی 6 GT نیوفیس,2016,شهریار,110000,بدون رنگ,مشکی,580000000
1539,سمند,LX ساده,1396,تهران,120000,دو لکه رنگ,سفید,158000000
1540,پژو,206 تیپ 3,1382,تهران,345000,دور رنگ,مشکی,66000000
1541,دانگ,فنگ H30 Cross,1396,تهران,115000,بدون رنگ,مشکی,250000000
1542,پراید,111 SE,1398,تهران,11000,بدون رنگ,نوک مدادی,120000000
1543,پراید,132 ساده,1383,تهران,270000,بدون رنگ,سفید صدفی,58000000
1544,پراید,132 SE,1397,تهران,75000,یک لکه رنگ,سفید,103000000
1545,ام,وی ام 315 اسپرت اکسلنت,1395,شیراز,83000,دو لکه رنگ,مشکی,160000000
1546,پژو,405 GLX بنزینی,1391,تهران,144000,بدون رنگ,اطلسی,115000000
1547,پراید,111 SE,1394,تهران,140000,بدون رنگ,نقره ای,97000000
1548,پژو,405 GL دوگانه سوز,1385,تهران,200000,دو لکه رنگ,بژ,69000000
1549,پراید,111 SE,1398,اصفهان,24000,بدون رنگ,سفید,122000000
1550,پژو,پارس ساده,1399,اصفهان,0,بدون رنگ,سفید,245000000
1551,پژو,206 تیپ 2,1387,تبریز,217000,دور رنگ,نقره ای,98000000
1552,کیا,ریو مونتاژ,1388,تهران,250000,چند لکه رنگ,سفید,105000000
1553,پژو,206 تیپ 5,1390,تبریز,190000,چند لکه رنگ,سفید,148000000
1554,رانا,پلاس,1399,اراک,11000,بدون رنگ,سفید,230000000
1555,پراید,131 SE,1396,شیراز,75000,بدون رنگ,سرمه ای,105000000
1556,پراید,131 SE,1398,رباط کریم,37000,بدون رنگ,سفید,104000000
1557,سمند,LX EF7 دوگانه سوز,1395,اصفهان,128000,یک لکه رنگ,سفید,197000000
1558,پژو,Roa ساده,1386,ورامین,170000,یک لکه رنگ,نوک مدادی,62000000
1559,سمند,LX EF7 دوگانه سوز,1389,رباط کریم,330000,دور رنگ,سفید,105000000
1560,پراید,131 SE,1399,پاکدشت,38000,یک لکه رنگ,سفید,115000000
1561,پژو,207 دنده ای,1399,اصفهان,8000,بدون رنگ,سفید,285000000
1562,پژو,Roa G2,1386,رباط کریم,280000,صافکاری بدون رنگ,نوک مدادی,58000000
1563,سیتروئن,زانتیا 2000,1385,پاکدشت,195000,دور رنگ,نوک مدادی,148000000
1564,پراید,131 SX,1390,پردیس,310000,چند لکه رنگ,نوک مدادی,5800000
1565,پراید,131 دوگانه سوز,1382,تبریز,150000,دو لکه رنگ,سفید,45000000
1566,پژو,206 تیپ 2,1387,اصفهان,200000,دور رنگ,مشکی,94000000
1567,پراید,صندوق دار ساده,1386,شیراز,314000,دو لکه رنگ,نقره ای,51000000
1568,سمند,LX ساده,1391,تهران,162000,بدون رنگ,سفید,117000000
1569,پیکان,وانت,1384,کرج,300000,دور رنگ,سفید,58000000
1570,پراید,صندوق دار ساده,1389,تهران,115000,بدون رنگ,سفید,70000000
1571,مزدا,وانت تک کابین بنزینی,1389,اصفهان,106000,یک لکه رنگ,نقره ای,214000000
1572,سمند,LX EF7 بنزینی,1394,تهران,120000,بدون رنگ,نوک مدادی,152000000
1573,رنو,P.K,1385,شیراز,159000,دور رنگ,نقرآبی,36000000
1574,پژو,پارس ساده,1384,اسلامشهر,200000,دور رنگ,نقره ای,85000000
1575,ام,وی ام X22 اتوماتیک اسپرت,1397,تهران,86000,بدون رنگ,سفید,355000000
1576,رانا,LX,1393,کرج,155000,بدون رنگ,سفید,148000000
1577,پیکان,استیشن,1377,قائم‌شهر,500000,دور رنگ,سفید,30000000
1578,پژو,206 تیپ 2,1397,اصفهان,5000,بدون رنگ,سفید,185000000
1579,رنو,مگان 2000 مونتاژ,1390,تهران,160000,بدون رنگ,زیتونی,315000000
1580,سیتروئن,زانتیا 2000,1386,تبریز,225000,یک لکه رنگ,سفید,178000000
1581,دنا,پلاس ساده,1397,تهران,76000,یک لکه رنگ,سفید,290000000
1582,پژو,206 تیپ 2,1383,شیراز,270000,بدون رنگ,نقره ای,78000000
1583,پژو,405 SLX بنزینی,1390,شهر ری,132000,بدون رنگ,نوک مدادی,117000000
1584,پیکان,وانت,1390,شهر ری,160000,بدون رنگ,نوک مدادی,95000000
1585,پراید,131 SE,1397,تهران,40000,بدون رنگ,سفید,102500000
1586,پراید,131 SE,1395,اصفهان,47000,بدون رنگ,سفید,96000000
1587,پراید,111 SE,1397,تهران,99000,صافکاری بدون رنگ,سفید,109000000
1588,چری,آریزو 5 دنده ای لاکچری,1399,شهریار,16000,بدون رنگ,سفید,376000000
1589,ام,وی ام 110 4 سیلندر دنده ای,1394,تهران,70000,بدون رنگ,آلبالویی,80000000
1590,پراید,استیشن,1384,تبریز,20000,بدون رنگ,مشکی,90000000
1591,جک,S5 دنده ای,1396,تهران,91000,یک لکه رنگ,سفید,490
1592,پراید,صندوق دار ساده,1381,اسلامشهر,277000,چند لکه رنگ,نقره ای,38000000
1593,پژو,206 SD V8,1393,تبریز,55000,یک لکه رنگ,نقره ای,170000000
1594,کیا,سراتو مونتاژ 1600 ساده,1394,تهران,85000,یک لکه رنگ,سفید,410000000
1595,پراید,هاچ بک ساده,1384,تهران,161000,چند لکه رنگ,سفید,53000000
1596,تیبا,۱ (صندوق دار) SX,1396,تبریز,125000,چند لکه رنگ,سفید,110000000
1597,پراید,131 SE,1395,رباط کریم,64000,صافکاری بدون رنگ,مشکی,84000000
1598,پژو,405 GLX بنزینی,1393,تهران,175000,بدون رنگ,مشکی,119000000
1599,پیکان,وانت,1392,شیراز,170000,بدون رنگ,سفید,97000000
1600,کیا,سراتو مونتاژ 2000 آپشنال,1397,لواسان,47000,یک لکه رنگ,مشکی,615000000
1601,سیتروئن,C3 فول,1398,تهران,5000,بدون رنگ,سفید,830000000
1602,پراید,131 SE,1395,رباط کریم,64000,صافکاری بدون رنگ,مشکی,84000000
1603,پراید,131 SE,1395,رباط کریم,64000,صافکاری بدون رنگ,مشکی,84000000
1604,پراید,131 SE,1399,تهران,2000,بدون رنگ,سفید,121500000
1605,پژو,پارس ELX,1392,بوشهر,155000,بدون رنگ,سفید,290000000
1606,سمند,LX ساده,1399,تبریز,0,بدون رنگ,سفید,195000000
1607,شاهین,G,1400,تهران,0,بدون رنگ,سفید,360000000
1608,لیفان,520,1389,تهران,163000,چند لکه رنگ,آبی کاربنی,80000000
1609,لکسوس,GS 430,2008,تبریز,131000,چند لکه رنگ,مشکی,1350000000
1610,دنا,پلاس اتوماتیک توربو,1399,تهران,0,بدون رنگ,نوک مدادی,448000000
1611,سمند,LX EF7 دوگانه سوز,1396,اهر,94000,بدون رنگ,سفید,202000000
1612,پژو,206 SD V8,1393,تبریز,216000,دور رنگ,سفید,153000000
1613,پژو,پارس دوگانه سوز,1400,اسلامشهر,0,بدون رنگ,سفید,265000000
1614,پژو,RD دوگانه سوز,1382,مسجد سلیمان,165000,چند لکه رنگ,یشمی,24000000
1615,ام,وی ام X22 دنده ای اسپرت اکسلنت,1397,تهران,80000,بدون رنگ,نوک مدادی,315000000
1616,پراید,صندوق دار ساده,1387,شیراز,245000,یک لکه رنگ,نقره ای,64000000
1617,سمند,سورن ELX,1399,تهران,3000,بدون رنگ,سفید,235000000
1618,نیسان,پاترول دو در,1371,تبریز,350000,دور رنگ,اطلسی,120000000
1619,پراید,131 SE,1395,ساری,170000,بدون رنگ,آبی کاربنی,82000000
1620,سوزوکی,گرند ویتارا مونتاژ 2000 دنده ای,1388,تهران,218000,دو لکه رنگ,سفید,450000000
1621,پژو,405 GLX دوگانه سوز,1388,شهریار,360000,چند لکه رنگ,زرد,75000000
1622,پیکان,صندوق دار,1381,قم,163000,یک لکه رنگ,سفید,40000000
1623,پراید,132 EX,1386,تهران,350000,دور رنگ,نقره ای,50000000
1624,پراید,صندوق دار ساده,1383,تهران,306000,صافکاری بدون رنگ,سفید,39000000
1625,تیبا,۲‌ (هاچ بک) EX,1397,تهران,120000,بدون رنگ,سفید,110000000
1626,ام,وی ام X33 اسپرت,1395,کرج,80000,بدون رنگ,سفید,355000000
1627,برلیانس,H330 1.5 دنده ای,1394,کرج,70000,یک لکه رنگ,سفید,240000000
1628,ساینا,EX,1400,پاکدشت,0,بدون رنگ,سفید صدفی,5000000
1629,پژو,405 GLX دوگانه سوز,1389,شهریار,183000,بدون رنگ,نوک مدادی,105000
1630,رانا,پلاس,1400,مشهد,0,بدون رنگ,سفید,35000000
1631,پژو,405 GLX دوگانه سوز,1389,شهریار,183000,بدون رنگ,نوک مدادی,105000
1632,دوو,سیلو,1376,تهران,107000,دو لکه رنگ,آلبالویی,115000000
1633,پراید,131 SX,1394,فسا,15000,بدون رنگ,سفید صدفی,95
1634,پژو,405 GLX دوگانه سوز,1387,شیراز,247000,صافکاری بدون رنگ,نقره ای,78000000
1635,پژو,405 GLX بنزینی,1395,تبریز,41000,بدون رنگ,نقره ای,150000000
1636,کیا,سراتو مونتاژ 2000 آپشنال,1397,تهران,42000,بدون رنگ,سفید,640000000
1637,پیکان,وانت,1390,شهریار,300000,یک لکه رنگ,سفید,80000000
1638,پراید,صندوق دار ساده,1381,ورامین,270000,چند لکه رنگ,سفید,37000000
1639,پژو,206 SD V8,1399,کرج,11000,بدون رنگ,سفید,250000000
1640,سمند,SE,1394,شیراز,204000,دو لکه رنگ,سفید,115000000
1641,کوییک,دنده ای ساده,1399,تهران,4000,بدون رنگ,سفید,156000000
1642,ام,وی ام 315 ساده,1396,تهران,60000,بدون رنگ,مشکی,188000000
1643,کوییک,دنده ای ساده,1399,رباط کریم,11000,بدون رنگ,سفید,150000000
1644,سمند,LX EF7 بنزینی,1394,تهران,127000,صافکاری بدون رنگ,سفید,155000000
1645,پژو,پارس ساده,1394,تهران,108000,بدون رنگ,سفید,173000000
1646,سیتروئن,زانتیا 2000,1385,شیراز,280000,دور رنگ,نقره ای,130000000
1647,چانگان,CS 35 مونتاژ,1396,تهران,70000,بدون رنگ,سفید,370000000
1648,پراید,141 ساده,1385,تهران,500000,چند لکه رنگ,نقرآبی,43000000
1649,پیکان,وانت,1385,ساری,175000,صافکاری بدون رنگ,سفید,45000000
1650,پژو,پارس ساده,1400,تهران,6000,بدون رنگ,سفید,230000000
1651,سمند,LX ساده,1397,اسلامشهر,90000,بدون رنگ,سفید,165000000
1652,نیسان,وانت,1395,شیراز,265000,دو لکه رنگ,آبی,227000000
1653,پژو,206 تیپ 5,1393,تهران,60000,بدون رنگ,سفید,162000000
1654,کوییک,دنده ای R,1400,اصفهان,0,بدون رنگ,سفید,15000000
1655,پراید,131 SE,1396,ورامین,105000,دور رنگ,سفید,85000000
1656,پژو,405 GLX دوگانه سوز,1400,تهران,0,بدون رنگ,زرد,200000000
1657,دوو,سیلو,1378,بروجن,520000,دور رنگ,نوک مدادی,55000000
1658,پژو,405 GLX دوگانه سوز,1399,شیراز,4000,بدون رنگ,نوک مدادی,205000000
1659,پژو,405 GLX بنزینی,1395,شیراز,180000,بدون رنگ,نوک مدادی,145000000
1660,کوییک,دنده ای ساده,1399,تهران,0,بدون رنگ,اطلسی,151000000
1661,ام,جی 6 مگنت,2013,تهران,129000,بدون رنگ,مشکی,412000000
1662,رنو,تندر 90 پارس,1397,تهران,41000,بدون رنگ,سفید,278000000
1663,رنو,تندر 90 پارس,1397,تهران,41000,بدون رنگ,سفید,279000000
1664,نیسان,تی ینا وارداتی,2011,تهران,230000,صافکاری بدون رنگ,سفید,720000000
1665,رنو,مگان 1600 مونتاژ E2,1391,تهران,270000,یک لکه رنگ,سفید,250000000
1666,پژو,پارس ساده,1396,شهریار,34000,بدون رنگ,سفید,195000000
1667,پژو,405 GLX دوگانه سوز,1391,شهریار,250000,بدون رنگ,نقره ای,110000000
